coding	meaning
9	crayon
16	nap
17	paper
18	party
19	sick
22	big
23	bus
27	egg
29	fun
32	orange
38	tree
39	triangle
40	tricycle
41	under
42	zoo
47	fireman
48	jar
49	log
52	pan
53	queen
54	run
55	ride
57	rocket
59	stick
61	tractor
63	wet
64	airplane
65	angry
66	back (of)
68	beside
71	chair
72	coat
73	doctor
75	fly
78	leaf
79	ocean
80	open
81	palace
82	riding
84	shore
86	shovel
88	tent
90	belt
91	braid
92	broom
93	brush
95	buy
96	cactus
100	hive
101	lighthouse
102	mask
103	melted
105	railroad
110	rubbish
113	blanket
116	bucket
117	calm
118	carry
119	castle
120	cattle
123	fancy
126	metal
127	net
128	plastic
129	porch
130	port
132	acrobat
134	cottage
135	diamond
136	envelope
137	fellowship
140	gold
142	instrument
143	jewelry
145	monument
148	pyramid
150	rose
152	tortoise
155	voyage
157	windmill
158	garden
160	boulder
161	bouquet
162	cable
164	exhibit
166	haul
167	hilarious
168	indicate
169	launch
170	marsh
171	mend
172	quarrel
173	royal
175	souvenir
177	stubborn
180	absorb
181	antenna
182	blueprint
183	carriage
184	citrus
187	diagram
188	dissolved
189	elastic
190	engraved
191	festive
193	herd
194	crossroads
196	lotion
197	luggage
199	pamphlet
201	quartet
203	ripple
204	sapling
205	sculpture
206	transport
207	trophy
210	vineyard
214	construct
215	creek
216	ferocious
217	flimsy
220	hedge
221	incinerate
222	instruct
224	lobby
225	mine
226	orchard
227	peak
229	prohibit
230	scorched
231	shatter
234	transparent
235	trinket
236	tutor
237	utensil
239	boulevard
240	debris
241	discouraged
242	drought
244	fragment
245	hurl
246	judiciary
249	morsel
250	pillars
251	reap
253	residential
255	slit
257	snarl
259	stampede
260	startled
261	submerged
263	weld
265	barricade
268	bureau
269	congestion
270	consume
271	cove
276	descend
277	desolate
278	dune
279	ensemble
282	hangar
286	memento
287	monarch
292	shabby
295	tranquil
297	acoustic
300	brawny
302	confine
303	corroded
306	equation
307	erode
308	fabricate
310	frothy
311	gavel
315	journal
316	knead
317	ladle
318	manger
319	masonry
320	molten
322	odometer
323	oxidized
325	quibble
328	rural
329	satchel
330	scholar
331	sentry
332	shimmer
333	tarpaulin
335	trench
337	unstable
341	attire
342	barren
343	beacon
345	broth
346	camouflaged
348	comrade
350	frigid
353	knick-knack
355	pageantry
359	tarnished
360	tattered
361	thicket
362	transact
363	turbulent
364	tusk
365	adhere
366	amiable
367	arid
368	bestow
369	cascade
370	chaff
371	concave
372	disarray
374	excavate
377	irate
378	jocular
380	lustre
382	offspring
384	ravine
385	receptacle
386	refurbish
387	refuse
389	summit
394	abode
399	cubicle
400	decrepit
404	effervescent
405	fiery
406	figurine
408	gregarious
409	hydroponics
412	jovial
414	labryinth
416	noxious
418	pachyderm
419	panorama
422	quills
424	resplendent
427	silhouette
428	slat
430	striated
437	vortex
442	celestial
443	cosmopolitan
446	depot
447	distinguished
448	flamboyant
449	foal
452	lounging
455	tethered
460	zenith
462	baubles
463	buffoon
464	burly
465	cleave
467	domicile
469	horizontal
471	jowl
472	knoll
473	ledger
474	lethargic
475	orifice
476	pennant
478	precipice
479	spry
480	wallowing
481	alms
484	balustrade
486	ellipse
491	glower
492	helix
493	indisposed
495	iridescent
501	mirth
502	opulent
504	parry
505	perusal
506	quadruped
507	quagmire
508	recess
509	ruminate
510	shorn
511	trend
512	trivet
513	verdant
515	affable
518	cherubic
519	coalesce
520	deluge
521	didactic
522	embellish
523	encumber
524	fissure
526	hodgepodge
528	lassitude
530	malefactor
531	matron
532	melancholy
534	onerous
537	prone
538	revel
539	scintillating
541	surly
544	atoll
545	cataract
550	disparate
551	ebullience
553	flaccid
556	hirsute
557	hovel
558	inclement
560	infuse
562	obstreperous
563	paucity
564	pecuniary
565	plethora
567	potable
568	prodigious
569	progeny
572	repast
573	sinuous
574	sumptuous
575	truncate
576	abrade
578	anomalous
580	bucolic
581	buffet
586	detritus
587	diadem
589	egress
590	feral
599	sustenance
601	tractable
603	concomitant
604	delineation
608	fecund
610	histrionic
616	natty
