fid,dc
19,100260
21,100261
23,100270
31,9
35,7
52,8
54,10
55,8
62,100641
111,7
115,100279
117,100279
120,100258
132,2
190,1965
393,1200
401,92
402,92
670,100286
680,100287
728,100293
738,100294
806,100301
816,100301
826,100301
924,100313
943,100314
971,100317
981,100318
991,100317
1001,100318
1011,100317
1021,100318
1031,100327
1100,100334
1110,100335
1120,100336
1130,100337
1140,100338
1150,100339
1170,100341
1180,100342
1190,100343
1200,100343
1210,100345
1220,100346
1239,100347
1249,100348
1259,100370
1329,100377
1339,100377
1349,100377
1359,100377
1369,100377
1379,100377
1389,100377
1408,100377
1418,100387
1428,100388
1448,100391
1468,100393
1478,100394
1508,100397
1518,100398
1538,100400
1548,100401
1558,100402
1618,100416
1628,100417
1647,100420
1677,100349
1687,100428
1697,100429
1707,100430
1717,100431
1727,100432
1747,100434
1757,100435
1767,100349
1777,100349
1787,100349
1797,100349
1835,100349
1920,100349
1930,100349
1940,100349
1950,100349
1960,100349
1970,100349
1980,100349
1990,100349
2000,100349
2010,100349
2020,100349
2030,100349
2040,100349
2050,100484
2060,100484
2070,100484
2080,100484
2090,100349
2100,100349
2110,100501
2129,100503
2159,100352
2178,100508
2188,100349
2207,100352
2227,100352
2237,100639
2247,100631
2257,100349
2267,100536
2296,100539
2306,100540
2316,100349
2335,100349
2345,100349
2365,100349
2375,100570
2385,100570
2395,100572
2415,100603
2443,100349
2453,100603
2463,100349
2473,100603
2492,100603
2624,100317
2634,100318
2644,100349
2654,100389
2664,100418
2674,100349
2694,100349
2724,100579
2774,100349
2784,100349
2814,100349
2834,100599
2844,100603
2877,100351
2907,100349
2936,100369
2956,100349
2986,100349
3005,100349
3059,22
3065,23
3077,100262
3079,7
3081,24
3082,100267
3088,100267
3089,7
3090,7
3140,100267
3159,7
3393,100352
3404,100349
3414,100349
3426,100301
3446,100351
3466,100356
3476,100357
3486,100358
3496,100359
3506,100360
3571,100349
3591,100599
3606,100563
3616,100349
3637,100317
3647,100318
3720,100349
3731,100352
3741,100349
3751,100564
3773,100349
3799,100349
3859,100418
3912,100349
3942,100349
4041,100617
4067,100349
4081,100259
4092,100260
4093,27
4095,100260
4096,27
4186,100263
4204,12
4232,29
4243,29
4259,29
4268,30
4270,15
4275,30
4277,15
4281,31
4287,32
4292,16
4293,16
4294,29
4501,100349
4526,100478
4537,100479
4548,100478
4559,100478
4570,100478
4581,100478
4598,100349
4631,100349
4642,100349
4653,100349
4674,100511
4717,100349
4728,100349
4792,100352
4803,100635
4814,100636
4825,100637
4836,100637
4849,100640
4924,100642
4935,100643
4946,100644
4957,100645
4968,100646
4979,100647
4990,100648
5001,100649
5012,100650
5090,1204
5091,1204
