-e FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATE_CONVERT	DATA_CODING	Path	Category	Field	ValueType
-e 3							Assessment centre > Procedural metrics > Process durations	152	Verbal interview duration	Integer
-e 4							Assessment centre > Procedural metrics > Process durations	152	Biometrics duration	Integer
-e 5							Assessment centre > Procedural metrics > Process durations	152	Sample collection duration	Integer
-e 6							Assessment centre > Procedural metrics > Process durations	152	Conclusion duration	Integer
-e 19						100260	Assessment centre > Physical measures > Bone-densitometry of heel	100018	Heel ultrasound method	Categorical single
-e 21						100261	Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Weight method	Categorical single
-e 23						100270	Assessment centre > Physical measures > Spirometry	100020	Spirometry method	Categorical single
-e 31		YES-SEX				9	Population characteristics > Baseline characteristics	100094	Sex	Categorical single
-e 33		YES-DATE					Population characteristics > Baseline characteristics	100094	Date of birth	Date
-e 34		YES-AGE					Population characteristics > Baseline characteristics	100094	Year of birth	Integer
-e 35						7	Assessment centre > Biological sampling > Blood sample collection	100002	Was blood sampling attempted	Categorical single
-e 46							Assessment centre > Physical measures > Hand grip strength	100019	Hand grip strength (left)	Integer
-e 47							Assessment centre > Physical measures > Hand grip strength	100019	Hand grip strength (right)	Integer
-e 48							Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Waist circumference	Continuous
-e 49							Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Hip circumference	Continuous
-e 50							Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Standing height	Continuous
-e 51							Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Seated height	Continuous
-e 52		YES-AGE				8	Population characteristics > Baseline characteristics	100094	Month of birth	Categorical single
-e 53		YES-DATE					Assessment centre > Recruitment > Reception	100024	Date of attending assessment centre	Date
-e 54		YES-ASSESSMENT-CENTRE				10	Assessment centre > Recruitment > Reception	100024	UK Biobank assessment centre	Categorical single
-e 55						8	Assessment centre > Recruitment > Reception	100024	Month of attending assessment centre	Categorical single
-e 62						100641	Assessment centre > Procedural metrics	100004	Willing to attempt cognitive tests	Categorical single
-e 68							Assessment centre > Biological sampling > Blood sample collection	100002	Number of blood samples taken	Integer
-e 74							Assessment centre > Biological sampling > Blood sample collection	100002	Fasting time	Integer
-e 77							Assessment centre > Physical measures > Bone-densitometry of heel	100018	Heel bone ultrasound T-score, manual entry	Continuous
-e 78							Assessment centre > Physical measures > Bone-densitometry of heel	100018	Heel bone mineral density (BMD) T-score, automated	Continuous
-e 84						37	Assessment centre > Verbal interview > Medical conditions	100074	Cancer year/age first occurred	Integer
-e 87		YES-POLYMORPHIC				37	Assessment centre > Verbal interview > Medical conditions	100074	Non-cancer illness year/age first occurred	Integer
-e 92		YES-POLYMORPHIC				37	Assessment centre > Verbal interview > Operations	100076	Operation year/age first occurred	Integer
-e 93							Assessment centre > Physical measures > Blood pressure	100011	Systolic blood pressure, manual reading	Integer
-e 94							Assessment centre > Physical measures > Blood pressure	100011	Diastolic blood pressure, manual reading	Integer
-e 95							Assessment centre > Physical measures > Blood pressure	100011	Pulse rate (during blood-pressure measurement)	Integer
-e 96							Assessment centre > Physical measures > Blood pressure	100011	Time since interview start at which blood pressure screen(s) shown	Integer
-e 102							Assessment centre > Physical measures > Blood pressure	100011	Pulse rate, automated reading	Integer
-e 111						7	Assessment centre > Procedural metrics	100004	Aide-memoire completed	Categorical single
-e 115		YES-SENSITIVE					Assessment centre > Verbal interview > Early life factors	100072	Father's month of birth	Categorical single
-e 117		YES-SENSITIVE					Assessment centre > Verbal interview > Early life factors	100072	Mother's month of birth	Categorical single
-e 118		YES-SENSITIVE					Assessment centre > Verbal interview > Early life factors	100072	Mother's day of birth	Integer
-e 120						100258	Assessment centre > Verbal interview > Early life factors	100072	Birth weight known	Categorical single
-e 129							Assessment centre > Verbal interview > Early life factors	100072	Place of birth in UK - north co-ordinate	Integer
-e 130							Assessment centre > Verbal interview > Early life factors	100072	Place of birth in UK - east co-ordinate	Integer
-e 132		YES-SENSITIVE				2	Assessment centre > Verbal interview > Employment	100073	Job code at visit - entered	Categorical single
-e 134							Assessment centre > Verbal interview > Medical conditions	100074	Number of self-reported cancers	Integer
-e 135							Assessment centre > Verbal interview > Medical conditions	100074	Number of self-reported non-cancer illnesses	Integer
-e 136							Assessment centre > Verbal interview > Operations	100076	Number of operations, self-reported	Integer
-e 137							Assessment centre > Verbal interview > Medications	100075	Number of treatments/medications taken	Integer
-e 146		YES-SENSITIVE					Assessment centre > Verbal interview > Early life factors	100072	Father's day of birth	Integer
-e 189							Population characteristics > Baseline characteristics	100094	Townsend deprivation index at recruitment	Continuous
-e 190						1965	Population characteristics > Ongoing characteristics	2	Reason lost to follow-up	Categorical single
-e 191		YES-DATE					Population characteristics > Ongoing characteristics	2	Date lost to follow-up	Date
-e 200		YES-DATE					Assessment centre > Recruitment > Consent	100023	Date of consenting to join UK Biobank	Date
-e 393		YES-ACE				1200	Assessment centre > Recruitment > Consent	100023	Program (tactus) version ID (compiler timestamp)	Categorical single
-e 396							Assessment centre > Cognitive function > Pairs matching	100030	Number of columns displayed in round	Integer
-e 397							Assessment centre > Cognitive function > Pairs matching	100030	Number of rows displayed in round	Integer
-e 398							Assessment centre > Cognitive function > Pairs matching	100030	Number of correct matches in round	Integer
-e 399							Assessment centre > Cognitive function > Pairs matching	100030	Number of incorrect matches in round	Integer
-e 400						402	Assessment centre > Cognitive function > Pairs matching	100030	Time to complete round	Integer
-e 401		YES-CAT-SIN-MUL-VAL				92	Assessment centre > Cognitive function > Reaction time	100032	Index for card A in round	Categorical single
-e 402		YES-CAT-SIN-MUL-VAL				92	Assessment centre > Cognitive function > Reaction time	100032	Index for card B in round	Categorical single
-e 403							Assessment centre > Cognitive function > Reaction time	100032	Number of times snap-button pressed	Integer
-e 404							Assessment centre > Cognitive function > Reaction time	100032	Duration to first press of snap-button in each round	Integer
-e 630							Assessment centre > Procedural metrics > Process durations	152	Touchscreen duration	Integer
-e 670						100286	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Type of accommodation lived in	Categorical single
-e 680						100287	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Own or rent accommodation lived in	Categorical single
-e 699						100290	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Length of time at current address	Integer
